item,type,venue_or_category,dimensions_searched,phase_a_candidates,kept,topic_only,dropped,phase_b_outcome,note
SEVA: Self-Evolving Verification Agent with Process Reward for Fact Attribution,publication,ICML 2026 Workshops (AI4GOOD and FAGEN),"D1,D3,D4,D6,D7,D8+D5",3,3,0,0,kept,All three genuine: two auto-generated paper index pages plus one independent 2026 survey citing SEVA by title and arXiv ID.
A Survey on LLM-based Conversational User Simulation,publication,"EACL, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Can Multimodal LLMs Perform Time Series Anomaly Detection?,publication,"WWW, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Charts Are Not Images: On the Challenges of Scientific Chart Editing,publication,"ICLR, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
CoAct: Co-Active LLM Preference Learning with Human-AI Synergy,publication,"ACL, 2026","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,Sole candidate is the USC Viterbi ACL 2026 roundup; it genuinely names CoAct but is excluded first-party institutional PR.
DecAlign: Hierarchical Cross-Modal Alignment for Decoupled Multimodal Representation Learning,publication,"ICLR, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Defenses Against Prompt Attacks Learn Surface Heuristics,publication,"ACL, 2026","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,Only candidate is USC Viterbi first-party PR naming the exact paper title; dropped as institutional self-coverage. No external coverage.
Doxing via the Lens: Revealing Location-related Privacy Leakage on Multi-modal Large Reasoning Models,publication,"ICLR, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Mitigating Hallucinations in Large Language Models via Causal Reasoning,publication,"AAAI, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
"""Someone Hid It"": Query-Agnostic Black-Box Attacks on LLM-Based Retrieval",publication,"ICML, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,publication,"ACL (Findings), 2026","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,"Only the USC Viterbi ACL 2026 roundup names the paper; first-party institutional PR, excluded by rule. No external coverage."
TrustGen: A Platform of Dynamic Benchmarking on the Trustworthiness of Generative Foundation Models,publication,"ICLR, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
